model,threshold,f1score,precision_score,accuracy_score,balanced_accuracy_score,recall_score,roc_auc_score,seed,cv,config,method,config_epochs,config_batch,config_pred_weights,config_input_weights
DTL,0.5,0.7391304347826085,0.7391304347826086,0.9117647058823528,0.8430165448249327,0.7391304347826086,0.8869223205506391,Seed_103,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5158371040723982,0.4351145038167939,0.7377450980392157,0.700314465408805,0.6333333333333333,0.7651292802236197,Seed_103,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7261904761904762,0.782051282051282,0.8872549019607843,0.8121593291404612,0.6777777777777778,0.9015024458420684,Seed_103,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.5446009389671361,0.4202898550724637,0.7622549019607843,0.7665465465465465,0.7733333333333333,0.8379579579579581,Seed_104,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.6356589147286822,0.7592592592592593,0.8848039215686274,0.7538138138138137,0.5466666666666666,0.938258258258258,Seed_104,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4834123222748815,0.3591549295774648,0.7328431372549019,0.7353469283057585,0.7391304347826086,0.7916078833739473,Seed_104,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.671875,0.7288135593220338,0.8970588235294118,0.7879953828395536,0.6231884057971014,0.8879911076909923,Seed_104,cv_1,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.4979919678714858,0.389937106918239,0.6936274509803921,0.6919287211740042,0.6888888888888889,0.7485324947589098,Seed_104,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
DTL,0.5,0.7134502923976608,0.7530864197530864,0.8799019607843137,0.8074423480083858,0.6777777777777778,0.896890286512928,Seed_104,cv_2,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
PARP,0.5,0.6296296296296295,0.5862068965517241,0.8529411764705882,0.7859459459459459,0.68,0.8648248248248248,Seed_105,cv_0,CopiedWeights_CopiedWeights_Epochs_10_Batch_16,DTL,10,16,CopiedWeights,CopiedWeights
